VC_NDA_VALORCAUSA,VC_NDA_TIPOPESSOA,VC_NDA_TIPODIVIDA,VC_NDA_SITUACAODIVIDA,VC_NDA_TIPOCOBRANCA,ID_NDA
continuous,FISICA JURIDICA,AUTO\ DE\ APREENSÃO AUTO\ DE\ INFRAÇÃO AUTO\ DE\ INFRAÇÃO\ CPRH AUTO\ DE\ INFRAÇÃO\ DE\ ICMS AUTO\ DE\ INFRAÇÃO\ SIMPLES\ NACIONAL AUTO\ DE\ INFRAÇÃO\ TAXA\ FUSP AUTO\ LANÇAMENTO\ SEM\ PENALIDADE DÉBITOS\ DECLARADOS\ DO\ SIMPLES\ NACIONAL NOTIFICAÇÃO\ AUTOMÁTICA\ DE\ DÉBITO NOTIFICAÇÃO\ DE\ DÉBITO NOTIFICAÇÃO\ DE\ DÉBITO\ AUTOMÁTICA NOTIFICAÇÃO\ DE\ DÉBITO\ DE\ ICMS NOTIFICAÇÃO\ DE\ DÉBITO\ DE\ IPVA NOTIFICAÇÃO\ DE\ DÉBITO\ SEM\ PENALIDADE NOTIFICAÇÃO\ DE\ LANÇAMENTO\ ICD SENTENCA\ JUDICIAL TERMO\ CONSTITUIÇÃO\ CRÉDITO\ NÃO\ TRIBUTÁRIO TERMO\ DE\ ACOMPANHAMENTO\ E\ REGULARIZAÇÃO,ATIVO\ CANCELADO ATIVO\ INTIMADO ATIVO\ REGULAR ATIVO\ SUSPENSO,AJUIZAMENTO PROTESTO,continuous
,,,,class,meta
15994.8,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2290.0
7230.5,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2292.0
16640.4,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2293.0
76129.47,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2294.0
43585.58,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2295.0
28583.98,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2296.0
23975.5,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2297.0
71146.08,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2300.0
13087.0,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2301.0
11425.0,FISICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2302.0
59488.96,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2303.0
62877.45,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2304.0
12847.78,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2305.0
14379.6,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2306.0
58341.86,JURIDICA,TERMO CONSTITUIÇÃO CRÉDITO NÃO TRIBUTÁRIO,ATIVO REGULAR,AJUIZAMENTO,2307.0
